wave,lev,thr,sorh,keepapp,mse,psnr,ssim,ok
haar,4,0.3,h,1,0.00615126665539969,22.1103544604429,0.322610358866829,1
haar,3,0.3,h,0,0.00616301368031576,22.1020686824546,0.321156067026118,1
haar,3,0.3,h,1,0.00616301368031576,22.1020686824546,0.321156067026118,1
haar,5,0.3,h,0,0.00617062508037598,22.0967083998495,0.322277300985949,1
haar,5,0.3,h,1,0.00617062508037598,22.0967083998495,0.322277300985949,1
haar,4,0.9,s,0,0.00631479229326393,21.9964092972826,0.709499219875097,1
sym8,2,0.3,h,1,0.00633445503106974,21.9829074260846,0.300417136351498,1
sym8,2,0.3,h,0,0.00634631119672511,21.9747863571704,0.298153343547563,1
db8,2,0.3,h,1,0.00639079596501217,21.9444504768127,0.284756525244647,1
db8,2,0.3,h,0,0.0064037868910098,21.9356312921971,0.282624134644198,1
sym8,4,0.1,s,1,0.00655984425958185,21.8310647129616,0.234907980995851,1
sym8,5,0.1,s,1,0.00656731347234216,21.8261225338512,0.23417382511823,1
sym8,5,0.1,s,0,0.00656784522554541,21.8257709012789,0.23427160706777,1
sym8,4,0.1,s,0,0.00658043340506318,21.8174550164004,0.235072576242802,1
db8,4,0.1,s,1,0.0065912585450816,21.8103165262928,0.232141875311108,1
db8,5,0.1,s,1,0.0066014662690821,21.8035959145112,0.23135604082713,1
db8,5,0.1,s,0,0.00660214466580603,21.8031496366627,0.23145072221939,1
db8,4,0.1,s,0,0.00661223411029009,21.7965177836024,0.232297991208947,1
haar,2,0.3,h,1,0.00661605735650961,21.7940073841506,0.2936892891139,1
haar,2,0.3,h,0,0.0066314043728695,21.78394488669,0.291114634406655,1
sym8,3,0.1,s,1,0.00664684133985898,21.7738468771392,0.236262698368308,1
db8,3,0.1,s,1,0.00667198577328005,21.7574488841836,0.233585908392796,1
haar,4,0.1,s,1,0.00675148049534912,21.7060098265658,0.230160869624828,1
haar,5,0.1,s,1,0.00676384465139968,21.6980637561815,0.229790510137978,1
haar,5,0.1,s,0,0.00676444141319408,21.6976806029081,0.229894124521431,1
sym8,3,0.1,s,0,0.00676593598526486,21.6967211553086,0.236456496244971,1
haar,4,0.1,s,0,0.00677216748578973,21.6927230968082,0.230338647868874,1
db8,3,0.1,s,0,0.00679140274322515,21.6804051427277,0.233767468705693,1
haar,3,0.1,s,1,0.00681642577757837,21.6644328985557,0.230549345702114,1
haar,3,0.1,s,0,0.00693575594450533,21.5890619722438,0.230772421820997,1
sym8,3,0.6,s,0,0.00694900651860638,21.5807728092474,0.761436735349335,1
db8,3,0.6,s,0,0.00697561897219054,21.5641724980635,0.759709861689817,1
